Area,Median Household Income,Median Age,Total Population,Occupied,Vacant,Work Commute Short,Work Commute Average,Work Commute Long,Geometry
Brighton,87832.79,29.9,48999,21531,1451,24405,350790,368125,"POLYGON ((-71.174265 42.349584, -71.174798 42.350265, -71.173935 42.353397, -71.171387 42.356089, -71.169474 42.358047, -71.162894 42.357953, -71.161769 42.35818, -71.160899 42.358625, -71.153994 42.359316, -71.148472 42.360526, -71.144514 42.362933, -71.139551 42.363698, -71.135452 42.364849, -71.135331 42.363175, -71.136273 42.360903, -71.136596 42.360161, -71.136961 42.359315, -71.137979 42.357608, -71.139066 42.353791, -71.137341 42.35359, -71.140266 42.352543, -71.143981 42.351433, -71.145612 42.350786, -71.147079 42.350165, -71.141654 42.349273, -71.140366 42.348686, -71.139731 42.348977, -71.13758 42.348649, -71.136379 42.350393, -71.135724 42.34904, -71.135042 42.348165, -71.135757 42.347968, -71.134674 42.34685, -71.134254 42.346577, -71.135155 42.346023, -71.135985 42.345366, -71.137824 42.343876, -71.138809 42.343087, -71.139977 42.34214, -71.141298 42.34107, -71.141754 42.340396, -71.144212 42.340022, -71.144779 42.339657, -71.146215 42.338632, -71.146156 42.337442, -71.147266 42.337201, -71.148482 42.336253, -71.148295 42.335807, -71.150104 42.335282, -71.149853 42.334635, -71.156262 42.330847, -71.157036 42.33039, -71.160917 42.333639, -71.162732 42.333961, -71.167565 42.333441, -71.168886 42.335826, -71.168936 42.338449, -71.16674 42.339854, -71.166699 42.340009, -71.174265 42.349584))"
Allston,79622,26.8,21762,8198,944,6945,124315,122555,"POLYGON ((-71.114119 42.35239, -71.110732 42.351819, -71.110936 42.350446, -71.115808 42.351017, -71.120286 42.351557, -71.121311 42.351675, -71.122855 42.351861, -71.123518 42.351486, -71.124067 42.351552, -71.126215 42.350412, -71.12858 42.349696, -71.129746 42.34885, -71.133381 42.347122, -71.134254 42.346577, -71.134674 42.34685, -71.135757 42.347968, -71.135042 42.348165, -71.135724 42.34904, -71.136379 42.350393, -71.13758 42.348649, -71.139731 42.348977, -71.140366 42.348686, -71.141654 42.349273, -71.147079 42.350165, -71.145612 42.350786, -71.143981 42.351433, -71.140266 42.352543, -71.137341 42.35359, -71.139066 42.353791, -71.137979 42.357608, -71.136961 42.359315, -71.136596 42.360161, -71.136273 42.360903, -71.135331 42.363175, -71.135452 42.364849, -71.132803 42.366127, -71.130648 42.368535, -71.129953 42.372684, -71.128547 42.372734, -71.12712 42.371818, -71.12682 42.370267, -71.125308 42.368858, -71.121961 42.36781, -71.119789 42.367674, -71.118349 42.366914, -71.117648 42.360915, -71.118419 42.356539, -71.118126 42.355092, -71.114119 42.35239))"
Charlestown,116870.3,42.6,36194,16111,1751,16765,210000,141285,"MULTIPOLYGON (((-71.059795 42.368767, -71.062994 42.368391, -71.064059 42.369001, -71.067115 42.371816, -71.070545 42.372356, -71.072466 42.372658, -71.072689 42.373222, -71.075657 42.380196, -71.080701 42.381039, -71.080932 42.382133, -71.079428 42.38332, -71.078727 42.384306, -71.077638 42.385838, -71.077405 42.386167, -71.073496 42.391796, -71.072696 42.390796, -71.069322 42.394022, -71.066944 42.394755, -71.066997 42.394006, -71.070696 42.389596, -71.070896 42.388996, -71.065695 42.386596, -71.055524 42.387119, -71.055295 42.387097, -71.048186 42.385686, -71.047284 42.385284, -71.044298 42.383209, -71.044982 42.378543, -71.045195 42.377097, -71.046817295921 42.3730407567864, -71.047018 42.37312, -71.050598 42.372872, -71.052642 42.370788, -71.0526194076875 42.370697, -71.054995 42.370697, -71.057141 42.369982, -71.059795 42.368767)), ((-72.459641 42.516427, -72.439538 42.518579, -72.440884 42.510402, -72.368469 42.502491, -72.358182 42.501346, -72.35679 42.548702, -72.271352 42.547227, -72.269111 42.533425, -72.244868 42.513439, -72.291288 42.479525, -72.283259 42.441189, -72.28734 42.438458, -72.287278 42.437246, -72.290726 42.43734, -72.288674 42.435575, -72.290888 42.434045, -72.292091 42.429966, -72.293556 42.430022, -72.297096 42.426593, -72.300329 42.424562, -72.302457 42.424019, -72.301285 42.423619, -72.300992 42.421945, -72.302279 42.420316, -72.30561 42.420357, -72.306681 42.419201, -72.306481 42.416468, -72.308616 42.414691, -72.309302 42.410857, -72.310273 42.410674, -72.310357 42.407929, -72.313572 42.40664, -72.312569 42.403503, -72.31404 42.399183, -72.315088 42.398856, -72.313631 42.396404, -72.315819 42.39454, -72.313391 42.392759, -72.314508 42.391655, -72.312658 42.390932, -72.312572 42.38867, -72.310043 42.38739, -72.311646 42.386609, -72.310852 42.385866, -72.312924 42.382687, -72.31435 42.381656, -72.313117 42.378751, -72.313641 42.377584, -72.312066 42.376431, -72.313159 42.373587, -72.312087 42.373765, -72.311431 42.372206, -72.314567 42.371405, -72.315655 42.369479, -72.313108 42.368557, -72.310505 42.364294, -72.312965 42.362114, -72.311546 42.35885, -72.313799 42.357791, -72.313121 42.355697, -72.313653 42.354336, -72.312219 42.352524, -72.312611 42.350796, -72.314277 42.348338, -72.314253 42.343688, -72.314924 42.342645, -72.315055 42.339411, -72.317631 42.339626, -72.323165 42.333523, -72.322347 42.332114, -72.322724 42.331039, -72.324865 42.33082, -72.326054 42.328478, -72.324673 42.326766, -72.326214 42.325158, -72.326762 42.326814, -72.327996 42.326397, -72.328219 42.325248, -72.3274 42.323477, -72.327223 42.320467, -72.328333 42.318558, -72.329118 42.319687, -72.332302 42.319409, -72.334715 42.317618, -72.335246 42.315142, -72.337705 42.314539, -72.342091 42.314331, -72.343597 42.311887, -72.345889 42.309969, -72.348656 42.309176, -72.350159 42.310312, -72.351459 42.309993, -72.349889 42.308043, -72.352771 42.30768, -72.350659 42.30739, -72.349556 42.306031, -72.350675 42.304002, -72.351689 42.304262, -72.3522 42.306423, -72.35421 42.305684, -72.356018 42.303283, -72.357215 42.304903, -72.360632 42.307654, -72.360478 42.3087, -72.358731 42.308822, -72.359032 42.309757, -72.357328 42.31039, -72.356096 42.313514, -72.354556 42.316049, -72.355227 42.318198, -72.353002 42.321252, -72.354302 42.323683, -72.351178 42.324884, -72.353594 42.327692, -72.351128 42.329563, -72.352532 42.331135, -72.352524 42.332438, -72.351199 42.334417, -72.3535 42.337585, -72.352884 42.338174, -72.354061 42.340085, -72.355396 42.340678, -72.35503 42.342715, -72.356564 42.343234, -72.359376 42.345566, -72.358028 42.347912, -72.358406 42.349929, -72.356448 42.350667, -72.357947 42.353094, -72.357193 42.3543, -72.358969 42.355639, -72.358986 42.356695, -72.357241 42.359696, -72.359258 42.363914, -72.357321 42.365009, -72.356365 42.366507, -72.358033 42.366797, -72.360765 42.368775, -72.360817 42.371213, -72.362765 42.372041, -72.363989 42.373637, -72.363723 42.376443, -72.36419 42.378816, -72.366141 42.378239, -72.366659 42.380855, -72.365807 42.381746, -72.363724 42.38182, -72.365837 42.382946, -72.36683 42.385353, -72.363814 42.386672, -72.36427 42.38813, -72.365964 42.388762, -72.365497 42.390633, -72.366699 42.391124, -72.367718 42.394068, -72.367125 42.394583, -72.368825 42.396441, -72.367911 42.397537, -72.369364 42.400283, -72.367995 42.40266, -72.366576 42.403506, -72.369969 42.408032, -72.371411 42.408615, -72.369917 42.410741, -72.373535 42.413392, -72.371967 42.41597, -72.375377 42.419009, -72.375022 42.420819, -72.483696 42.407481, -72.483976 42.408715, -72.489891 42.433816, -72.530968 42.428853, -72.534279 42.442212, -72.534657 42.458474, -72.524333 42.476506, -72.520928 42.510223, -72.459641 42.516427)), ((-72.930260821819 42.7391604699701, -72.9301048286621 42.739157148576, -72.9271903680296 42.7390950941076, -72.8643005207143 42.7377560483853, -72.8576585835063 42.7376146287765, -72.809113 42.736581, -72.8069577886811 42.7365211989318, -72.7910764312897 42.7360805358152, -72.7792570809693 42.7357525819999, -72.6857634884317 42.7331583970788, -72.6746848221827 42.7328509951687, -72.616353485468 42.7312324642083, -72.5986203239781 42.7307404187227, -72.5702884550829 42.7299542888385, -72.5653564273728 42.7298174389051, -72.5167111827822 42.7284676698292, -72.458519 42.726853, -72.4511957433251 42.7266313904827, -72.4378719261575 42.726228197638, -72.4292200847109 42.7259663837358, -72.4120332374223 42.7254462915007, -72.404443 42.706656, -72.377123 42.639282, -72.382517 42.638069, -72.463418 42.619983, -72.461651 42.60648, -72.491 42.604008, -72.49643 42.598016, -72.497071 42.597569, -72.500092 42.596767, -72.502996 42.59849, -72.504456 42.59989, -72.506039 42.603529, -72.507632 42.603895, -72.514366 42.604415, -72.520592 42.604502, -72.523766 42.603915, -72.528887 42.600834, -72.531909 42.599346, -72.539066 42.596781, -72.541098 42.596399, -72.54423 42.597155, -72.545085 42.598096, -72.54543 42.603535, -72.546139 42.605366, -72.549421 42.607472, -72.552711 42.611061, -72.552686 42.612195, -72.552246 42.614995, -72.55186 42.615389, -72.549254 42.617547, -72.550062 42.62457, -72.54892 42.625532, -72.549712 42.626558, -72.551698 42.627009, -72.55069 42.628686, -72.551362 42.630327, -72.550043 42.63189, -72.548432 42.632622, -72.546826 42.635448, -72.549066 42.637899, -72.549135 42.641217, -72.547923 42.64196, -72.545752 42.644398, -72.544535 42.644195, -72.542466 42.645271, -72.540758 42.645022, -72.541331 42.648621, -72.539959 42.650908, -72.541266 42.652585, -72.540785 42.655661, -72.543676 42.655808, -72.554118 42.654697, -72.585795 42.650908, -72.615637 42.647462, -72.620898 42.646872, -72.63304 42.645351, -72.734357 42.633194, -72.735114 42.633108, -72.737069 42.628633, -72.736889 42.627021, -72.741553 42.627301, -72.743953 42.626817, -72.746995 42.622939, -72.745582 42.621504, -72.745408 42.619526, -72.747049 42.618568, -72.749595 42.61805, -72.751724 42.619732, -72.754099 42.620979, -72.759614 42.619816, -72.764282 42.619428, -72.772842 42.620135, -72.777636 42.620969, -72.783541 42.621296, -72.790831 42.619677, -72.797416 42.617727, -72.802915 42.61666, -72.811047 42.616934, -72.81565 42.616807, -72.819986 42.618335, -72.82248 42.618798, -72.831748 42.616627, -72.833422 42.611179, -72.848454 42.559069, -72.877026 42.555425, -72.876849 42.541197, -72.975409 42.556037, -72.954599 42.628654, -72.951039 42.641006, -72.951096 42.641356, -72.952913 42.650895, -72.954275 42.651713, -72.955573 42.654513, -72.955533 42.659374, -72.954358 42.662461, -72.954854 42.66579, -72.957432 42.666972, -72.960443 42.667387, -72.962094 42.667023, -72.963948 42.664294, -72.968763 42.664247, -72.972845 42.662722, -72.974626 42.661041, -72.976254 42.66104, -72.980038 42.664108, -72.982406 42.665201, -72.985529 42.665938, -72.988584 42.667376, -72.993268 42.671046, -72.995686 42.673649, -72.994665 42.674322, -72.989251 42.674233, -72.988533 42.675332, -72.989772 42.678219, -72.988897 42.678663, -72.983884 42.679385, -72.977257 42.679051, -72.975826 42.679422, -72.97561 42.680424, -72.976987 42.682793, -72.977495 42.685913, -72.97352 42.688808, -72.971584 42.689055, -72.963802 42.687492, -72.961375 42.688225, -72.959335 42.689518, -72.957387 42.690113, -72.954353 42.690276, -72.952644 42.691642, -72.951647 42.693951, -72.951736 42.695653, -72.95388 42.698158, -72.951691 42.70051, -72.950229 42.701165, -72.948703 42.703635, -72.949639 42.705111, -72.997878 42.701264, -73.023709 42.70269, -73.0230149955487 42.7411352241426, -73.022903 42.741133, -73.018645354584 42.741042346546, -72.930260821819 42.7391604699701)))"
East Boston,100708.83,34.8,45357,17308,1524,13605,277870,227790,"POLYGON ((-71.029638 42.363352, -71.037999 42.363753, -71.0416821697615 42.3664873177287, -71.042626 42.367188, -71.0437334980831 42.3699110078238, -71.04466 42.372189, -71.046817295921 42.3730407567864, -71.045195 42.377097, -71.044982 42.378543, -71.044298 42.383209, -71.043264 42.383594, -71.039262 42.386831, -71.038357 42.386529, -71.031995 42.384597, -71.027712 42.384041, -71.022672 42.386265, -71.020512 42.387641, -71.017794 42.390697, -71.016094 42.395897, -71.013395 42.397398, -71.011272 42.396589, -71.01193 42.395752, -71.010001 42.39549, -71.011609 42.393493, -71.008579 42.393387, -71.005972 42.392821, -71.004015 42.392589, -70.998233 42.390266, -70.995047 42.393566, -70.994454 42.393316, -70.989771 42.39324, -70.987974 42.392817, -70.987289 42.388734, -70.986053 42.388116, -70.986621 42.387138, -70.988281 42.387107, -70.994239 42.384647, -70.994634 42.382711, -70.994648 42.38115, -70.997994 42.378197, -70.993811 42.377122, -70.996192 42.376202, -70.9978531307301 42.3726342679425, -71.00024 42.372418, -71.002822 42.365945, -71.0016199959101 42.3646770423249, -70.997719 42.360562, -70.988035 42.36188, -70.9858852713334 42.3590611504902, -70.985317 42.358316, -70.9857395963913 42.3579345351261, -70.98955 42.354495, -70.994337 42.353909, -70.999577 42.356408, -71.003741 42.356037, -71.005579 42.347362, -71.007807 42.347145, -71.0277 42.358625, -71.026351 42.361819, -71.0264628524305 42.3622050393619, -71.026916 42.363769, -71.029638 42.363352))"
North End,110063.5,31,9856,5783,973,11715,88195,37775,"POLYGON ((-71.051066 42.363703, -71.051 42.362584, -71.052809 42.360915, -71.052967 42.361029, -71.054925 42.362046, -71.056381 42.362884, -71.056972 42.363208, -71.058433 42.364641, -71.058381 42.365266, -71.058525 42.366952, -71.059795 42.368767, -71.057141 42.369982, -71.054995 42.370697, -71.0526194076875 42.370697, -71.052248 42.369201, -71.05048 42.368073, -71.0503521192944 42.3662546219372, -71.0502102174239 42.364236872291, -71.051084 42.363995, -71.051066 42.363703))"
West End,135384.67,33.8,7506,3986,872,0,0,0,"POLYGON ((-71.058381 42.365266, -71.058433 42.364641, -71.058958 42.363385, -71.062195 42.362258, -71.062911 42.361229, -71.063721 42.361241, -71.065161 42.361201, -71.066911 42.361141, -71.068752 42.36108, -71.070812 42.360902, -71.072355 42.361207, -71.068497 42.366506, -71.070218 42.366148, -71.071537 42.36711, -71.070644 42.367949, -71.070575 42.368015, -71.069478 42.369046, -71.064059 42.369001, -71.062994 42.368391, -71.059795 42.368767, -71.058525 42.366952, -71.058381 42.365266))"
Downtown,143428.75,40.3,9126,4137,1222,0,0,0,"POLYGON ((-71.050039 42.353855, -71.052188 42.351121, -71.054788 42.346871, -71.05647 42.346111, -71.058143 42.345647, -71.05964 42.34486, -71.060609 42.343718, -71.061716 42.343964, -71.060911 42.345709, -71.060705 42.346253, -71.057716 42.347072, -71.057485 42.347658, -71.059401 42.348769, -71.059508 42.351149, -71.058009 42.35235, -71.059828 42.352548, -71.061051 42.352516, -71.062575 42.352399, -71.064562 42.352383, -71.064235 42.353394, -71.063308 42.355209, -71.061956 42.356534, -71.063169 42.357748, -71.062642 42.357977, -71.062817 42.358665, -71.062911 42.361229, -71.062195 42.362258, -71.058958 42.363385, -71.058433 42.364641, -71.056972 42.363208, -71.056381 42.362884, -71.054925 42.362046, -71.052967 42.361029, -71.052809 42.360915, -71.051 42.362584, -71.051066 42.363703, -71.051084 42.363995, -71.0502102174239 42.364236872291, -71.0502003654495 42.364096783808, -71.0498956435004 42.3597638415945, -71.049673 42.356598, -71.0482832741435 42.356018539708, -71.049595 42.354497, -71.050039 42.353855))"
Beacon Hill,142630.33,34.5,8204,5138,1011,5245,35560,16340,"POLYGON ((-71.061956 42.356534, -71.063308 42.355209, -71.064235 42.353394, -71.064562 42.352383, -71.067533 42.352513, -71.070655 42.351854, -71.071079 42.352673, -71.072055 42.354655, -71.072564 42.355439, -71.073464 42.356121, -71.072528 42.357941, -71.072123 42.359465, -71.072355 42.361207, -71.070812 42.360902, -71.068752 42.36108, -71.066911 42.361141, -71.065161 42.361201, -71.063721 42.361241, -71.062911 42.361229, -71.062817 42.358665, -71.062642 42.357977, -71.063169 42.357748, -71.061956 42.356534))"
Chinatown,56074.5,28.6,5015,2415,546,2870,22205,6330,"POLYGON ((-71.059401 42.348769, -71.057485 42.347658, -71.057716 42.347072, -71.060705 42.346253, -71.063039 42.34685, -71.064434 42.347186, -71.06415 42.348405, -71.062761 42.351508, -71.064562 42.352383, -71.062575 42.352399, -71.061051 42.352516, -71.059828 42.352548, -71.058009 42.35235, -71.059508 42.351149, -71.059401 42.348769))"
Bay Village,42243,21.6,3242,966,218,0,0,0,"POLYGON ((-71.066613 42.348761, -71.066868 42.350962, -71.067533 42.352513, -71.064562 42.352383, -71.062761 42.351508, -71.06415 42.348405, -71.064434 42.347186, -71.066158 42.347589, -71.068193 42.347866, -71.066613 42.348761))"
Back Bay,117155.38,42.2,23175,12825,5647,13380,116610,34735,"MULTIPOLYGON (((-70.005033 41.704814, -69.995091 41.711641, -69.994206 41.711846, -69.993269 41.71241, -69.993036 41.713864, -69.988518 41.724994, -69.950675 41.724599, -69.936348 41.723239, -69.937404 41.727529, -69.93992 41.73175, -69.943273 41.735055, -69.947302 41.738598, -69.952547 41.742735, -69.956035 41.74672, -69.957594 41.748999, -69.958224 41.752136, -69.9579 41.755142, -69.962292 41.756923, -69.965822 41.756453, -69.977147 41.756744, -69.981809 41.757168, -69.983156 41.757761, -69.989181 41.757639, -69.987163 41.761731, -69.985695 41.765939, -69.985567 41.769607, -69.9866 41.775136, -69.985949 41.779604, -69.987513 41.782067, -69.987471 41.786523, -69.987963 41.788044, -69.988098 41.788508, -69.986754 41.792132, -69.983498 41.794585, -69.98289 41.796687, -69.979941 41.792908, -69.972273 41.804896, -69.966951 41.806845, -69.965622 41.808589, -69.963929 41.811904, -69.959634 41.814988, -69.956722 41.81506, -69.953164 41.812933, -69.939322 41.810552, -69.9381789777666 41.8103690934476, -69.938024 41.809507, -69.928652 41.74125, -69.9285040274615 41.7225100492893, -69.928393 41.708449, -69.930418 41.691944, -69.933746 41.678631, -69.943728 41.664783, -69.943966 41.65555, -69.947531 41.651465, -69.9515075488493 41.6422113587001, -69.954487 41.639752, -69.958272 41.639429, -69.958994 41.644699, -69.959108 41.647596, -69.958259 41.651015, -69.956325 41.65441, -69.953288 41.658639, -69.950564 41.66201, -69.943936 41.669703, -69.941732 41.675109, -69.941188 41.678862, -69.945681 41.678442, -69.949025 41.677201, -69.956504 41.679573, -69.960167 41.682392, -69.965459 41.682811, -69.968 41.68556, -69.969847 41.686536, -69.970068 41.686612, -69.973254 41.687168, -69.972824 41.689062, -69.975258 41.691372, -69.980711 41.694006, -69.986098 41.694257, -69.990232 41.696154, -69.994176 41.695795, -69.998133 41.696589, -69.998514 41.696425, -70.000275 41.696131, -70.008366 41.697565, -70.010582 41.698393, -70.013308 41.699937, -70.008613 41.702879, -70.006003 41.703586, -70.005033 41.704814)), ((-71.072 42.349022, -71.075096 42.348159, -71.076201 42.347911, -71.076028 42.347309, -71.078086 42.345821, -71.080082 42.344219, -71.08078 42.343744, -71.082648 42.342066, -71.083151 42.341622, -71.084096 42.342192, -71.0849 42.342733, -71.084958 42.34277, -71.085796 42.343332, -71.087455 42.346635, -71.087758 42.3473, -71.087916 42.347461, -71.08871 42.349252, -71.089497 42.350848, -71.089757 42.351363, -71.089862 42.351576, -71.085915 42.352526, -71.081595 42.353704, -71.079464 42.354275, -71.077357 42.354938, -71.075219 42.355507, -71.073464 42.356121, -71.072564 42.355439, -71.072055 42.354655, -71.071079 42.352673, -71.070655 42.351854, -71.070455 42.351417, -71.072822 42.350755, -71.072659 42.35041, -71.072 42.349022)))"
