Area,Median Household Income,Median Age,Total Population,Occupied,Vacant,Work Commute Short,Work Commute Average,Work Commute Long,Geometry
South End,122716.45,38.3,30576,16375,1838,17290,170245,78350,"POLYGON ((-71.072152 42.332727, -71.07337 42.33361, -71.074357 42.332847, -71.075037 42.33349, -71.076119 42.332813, -71.075783 42.334493, -71.077621 42.336001, -71.076941 42.336527, -71.080349 42.339363, -71.08174 42.340671, -71.083151 42.341622, -71.082648 42.342066, -71.08078 42.343744, -71.080082 42.344219, -71.078086 42.345821, -71.076028 42.347309, -71.076201 42.347911, -71.075096 42.348159, -71.072 42.349022, -71.072659 42.35041, -71.072822 42.350755, -71.070455 42.351417, -71.070655 42.351854, -71.067533 42.352513, -71.066868 42.350962, -71.066613 42.348761, -71.068193 42.347866, -71.066158 42.347589, -71.064434 42.347186, -71.063039 42.34685, -71.060705 42.346253, -71.060911 42.345709, -71.061716 42.343964, -71.062215 42.342915, -71.06529 42.337074, -71.065414 42.335441, -71.067131 42.335291, -71.072152 42.332727))"
Fenway,56279.1,28.2,36668,13585,4494,22620,142255,55120,"MULTIPOLYGON (((-69.9971252233437 41.9667576121419, -69.9861958951242 41.9497693722569, -69.986085 41.949597, -69.9860240742306 41.9494649645517, -69.9837096690557 41.9444492950307, -69.968598 41.9117, -69.957460195804 41.8799005262265, -69.979642 41.877258, -69.981582 41.877102, -69.987753 41.87742, -69.990116 41.877196, -69.99301 41.876193, -69.99883 41.87688, -70.000525 41.877702, -70.004497 41.877614, -70.005372 41.878349, -70.004603 41.879965, -70.0064441049312 41.8808134846059, -70.005763 41.881924, -70.000188 41.886938, -70.002922 41.890315, -70.012154 41.891656, -70.018497 41.891528, -70.02424 41.896343, -70.024335 41.89882, -70.021212 41.900148, -70.013606 41.90121, -70.0134194447376 41.904969442757, -70.013369 41.905986, -70.020089 41.907582, -70.025553 41.911699, -70.032305 41.920441, -70.032024 41.924207, -70.0287061232718 41.9278772936863, -70.027392 41.929331, -70.035235 41.930039, -70.044995 41.930049, -70.054962 41.927917, -70.059003 41.925618, -70.061617 41.923496, -70.057815 41.920489, -70.054203 41.920949, -70.058947 41.917105, -70.063137 41.91521, -70.065671 41.911658, -70.065723 41.899641, -70.068986 41.896256, -70.066371 41.886348, -70.066846 41.88334, -70.06901 41.884924, -70.073039 41.899783, -70.074006 41.93865, -70.077225 41.943358, -70.0772923828467 41.9578449682566, -70.0388 41.962868, -70.02807 41.963997, -69.9971252233437 41.9667576121419)), ((-71.092205 42.341335, -71.090844 42.344077, -71.090902 42.346544, -71.092044 42.34685, -71.094303 42.345577, -71.094451 42.345189, -71.094644 42.344549, -71.094611 42.34294, -71.096493 42.341843, -71.098408 42.340791, -71.099062 42.34061, -71.101823 42.342503, -71.102519 42.343375, -71.104307 42.344082, -71.104344 42.344169, -71.105516 42.343812, -71.10674 42.34604, -71.107213 42.347049, -71.106894 42.348588, -71.106854 42.348759, -71.106702 42.349433, -71.10657 42.349912, -71.110936 42.350446, -71.110732 42.351819, -71.103268 42.351075, -71.100244 42.35087, -71.098182 42.350735, -71.094992 42.35057, -71.089862 42.351576, -71.089757 42.351363, -71.089497 42.350848, -71.08871 42.349252, -71.087916 42.347461, -71.087758 42.3473, -71.087455 42.346635, -71.085796 42.343332, -71.084958 42.34277, -71.0849 42.342733, -71.084096 42.342192, -71.083151 42.341622, -71.084681 42.340293, -71.090518 42.335665, -71.090654 42.335744, -71.095745 42.337727, -71.092192 42.339139, -71.092543 42.339513, -71.093217 42.340889, -71.092205 42.341335)))"
South Boston Waterfront,166594.75,34.4,5456,3574,947,4740,36190,21965,"POLYGON ((-71.013895 42.34168, -71.0109482949352 42.3396711987028, -71.013366 42.338887, -71.018005 42.338817, -71.021947 42.337847, -71.025133 42.33831, -71.029317 42.338238, -71.035486 42.338141, -71.037522 42.338095, -71.042475 42.33801, -71.043982 42.337988, -71.045559 42.338718, -71.047072 42.339701, -71.050159 42.341693, -71.051924 42.34253, -71.052357 42.342123, -71.057226 42.34354, -71.05647 42.346111, -71.054788 42.346871, -71.052188 42.351121, -71.050039 42.353855, -71.049595 42.354497, -71.0482832741435 42.356018539708, -71.0339662859699 42.3500489262703, -71.013895 42.34168))"
South Boston,136388.92,33.1,36175,17406,1796,9350,212375,105305,"POLYGON ((-71.052456 42.321466, -71.052904 42.32287, -71.05685 42.326289, -71.056868 42.326867, -71.056915 42.328035, -71.057845 42.328139, -71.057749 42.328376, -71.058241 42.329734, -71.059288 42.329973, -71.063553 42.330791, -71.062798 42.331973, -71.064613 42.334009, -71.065414 42.335441, -71.06529 42.337074, -71.062215 42.342915, -71.061716 42.343964, -71.060609 42.343718, -71.05964 42.34486, -71.058143 42.345647, -71.05647 42.346111, -71.057226 42.34354, -71.052357 42.342123, -71.051924 42.34253, -71.050159 42.341693, -71.047072 42.339701, -71.045559 42.338718, -71.043982 42.337988, -71.042475 42.33801, -71.037522 42.338095, -71.035486 42.338141, -71.029317 42.338238, -71.025133 42.33831, -71.021947 42.337847, -71.018005 42.338817, -71.013366 42.338887, -71.0109482949352 42.3396711987028, -71.010926 42.339656, -71.010177 42.337557, -71.015664 42.330518, -71.024151 42.333159, -71.034704 42.328762, -71.042333 42.330142, -71.047648 42.328087, -71.047426 42.323428, -71.0467260009414 42.323070744949, -71.047841 42.322592, -71.048956 42.323429, -71.050244 42.322017, -71.050283 42.321864, -71.050604 42.320758, -71.050925 42.320876, -71.051368 42.32141, -71.052093 42.321469, -71.052456 42.321466))"
Longwood,69861,20.1,4769,237,29,6860,14840,9605,"POLYGON ((-71.110001 42.340317, -71.104358 42.343358, -71.103275 42.342741, -71.100603 42.340204, -71.098988 42.339095, -71.096885 42.339026, -71.09621 42.339827, -71.093217 42.340889, -71.092543 42.339513, -71.092192 42.339139, -71.095745 42.337727, -71.100306 42.335941, -71.100935 42.336168, -71.10539 42.33786, -71.110001 42.340317))"
Mission Hill,55934.5,26.7,15168,6359,363,8170,79385,49425,"POLYGON ((-71.100113 42.326418, -71.101346 42.326419, -71.104618 42.326092, -71.105231 42.326114, -71.107181 42.326898, -71.108333 42.327318, -71.110832 42.329073, -71.111297 42.330066, -71.112298 42.332003, -71.113016 42.331932, -71.109894 42.335379, -71.110063 42.336307, -71.110697 42.337183, -71.110001 42.340317, -71.10539 42.33786, -71.100935 42.336168, -71.100306 42.335941, -71.095745 42.337727, -71.090654 42.335744, -71.090518 42.335665, -71.094446 42.332386, -71.095351 42.331554, -71.097185 42.331782, -71.097603 42.330772, -71.098495 42.330067, -71.098941 42.329133, -71.099368 42.327995, -71.100113 42.326418))"
Jamaica Plain,118262.14,35.7,42634,18367,724,12200,213035,142740,"POLYGON ((-71.116735 42.296236, -71.115436 42.298206, -71.115434 42.298903, -71.12016 42.295952, -71.121294 42.295199, -71.124217 42.292581, -71.12618 42.290089, -71.127847 42.291, -71.130463 42.293156, -71.129332 42.296362, -71.130068 42.298184, -71.129622 42.298529, -71.127925 42.300157, -71.130904 42.301275, -71.134866 42.301723, -71.136917 42.301189, -71.140135 42.302147, -71.136502 42.306204, -71.134359 42.309252, -71.131863 42.313178, -71.130642 42.31453, -71.123711 42.322716, -71.121528 42.323882, -71.120112 42.322835, -71.119539 42.322745, -71.116537 42.323939, -71.115929 42.325855, -71.115563 42.32678, -71.114547 42.328372, -71.113088 42.332604, -71.111413 42.334525, -71.110808 42.335586, -71.110751 42.336168, -71.111551 42.337299, -71.110597 42.340405, -71.108225 42.342272, -71.105516 42.343812, -71.104344 42.344169, -71.104307 42.344082, -71.102519 42.343375, -71.101823 42.342503, -71.099062 42.34061, -71.098408 42.340791, -71.096493 42.341843, -71.094611 42.34294, -71.094644 42.344549, -71.094451 42.345189, -71.094303 42.345577, -71.092044 42.34685, -71.090902 42.346544, -71.090844 42.344077, -71.092205 42.341335, -71.093217 42.340889, -71.09621 42.339827, -71.096885 42.339026, -71.098988 42.339095, -71.100603 42.340204, -71.103275 42.342741, -71.104358 42.343358, -71.110001 42.340317, -71.110697 42.337183, -71.110063 42.336307, -71.109894 42.335379, -71.113016 42.331932, -71.112298 42.332003, -71.111297 42.330066, -71.110832 42.329073, -71.108333 42.327318, -71.107181 42.326898, -71.105231 42.326114, -71.104618 42.326092, -71.101346 42.326419, -71.100113 42.326418, -71.099278 42.326361, -71.098917 42.325025, -71.098398 42.324934, -71.09862 42.324196, -71.098412 42.319572, -71.098308 42.315789, -71.095145 42.313282, -71.096248 42.312492, -71.096832 42.312246, -71.097848 42.311067, -71.100716 42.306566, -71.10269 42.305966, -71.102713 42.305269, -71.104335 42.302763, -71.10485 42.30232, -71.105702 42.301665, -71.106655 42.30088, -71.104661 42.300271, -71.105517 42.298831, -71.109596 42.299098, -71.112075 42.296178, -71.115368 42.294572, -71.114 42.29374, -71.1134 42.293118, -71.1139 42.292482, -71.114432 42.291572, -71.114402 42.290649, -71.116587 42.289111, -71.11726 42.289864, -71.119282 42.290235, -71.119259 42.290486, -71.119171 42.291205, -71.11882 42.292527, -71.118415 42.293409, -71.116735 42.296236))"
Roxbury,45737.24,34.7,54015,20475,1939,20140,199375,187470,"MULTIPOLYGON (((-71.10269 42.305966, -71.100716 42.306566, -71.097848 42.311067, -71.096832 42.312246, -71.096248 42.312492, -71.095145 42.313282, -71.098308 42.315789, -71.098412 42.319572, -71.09862 42.324196, -71.098398 42.324934, -71.098917 42.325025, -71.099278 42.326361, -71.100113 42.326418, -71.099368 42.327995, -71.098941 42.329133, -71.098495 42.330067, -71.097603 42.330772, -71.097185 42.331782, -71.095351 42.331554, -71.094446 42.332386, -71.090518 42.335665, -71.084681 42.340293, -71.083151 42.341622, -71.08174 42.340671, -71.080349 42.339363, -71.076941 42.336527, -71.077621 42.336001, -71.075783 42.334493, -71.076119 42.332813, -71.075037 42.33349, -71.074357 42.332847, -71.07337 42.33361, -71.072152 42.332727, -71.067131 42.335291, -71.065414 42.335441, -71.064613 42.334009, -71.062798 42.331973, -71.063553 42.330791, -71.066655 42.325845, -71.067507 42.323297, -71.068061 42.321281, -71.069842 42.321567, -71.072204 42.321359, -71.071276 42.32016, -71.069698 42.318947, -71.070388 42.317441, -71.073011 42.317035, -71.072825 42.316544, -71.073145 42.314217, -71.072231 42.313409, -71.073171 42.312222, -71.074649 42.312841, -71.077005 42.313713, -71.078823 42.314608, -71.079683 42.313219, -71.080088 42.312691, -71.080312 42.312418, -71.082012 42.310256, -71.082668 42.309535, -71.082804 42.309331, -71.083078 42.308772, -71.083254 42.308469, -71.083898 42.30759, -71.084299 42.307015, -71.084923 42.304428, -71.085246 42.303446, -71.085903 42.301381, -71.086992 42.298142, -71.089635 42.297498, -71.09135 42.296922, -71.093173 42.294613, -71.094542 42.293021, -71.095759 42.291973, -71.096181 42.292886, -71.096402 42.293235, -71.103291 42.299806, -71.104661 42.300271, -71.106655 42.30088, -71.105702 42.301665, -71.10485 42.30232, -71.104335 42.302763, -71.102713 42.305269, -71.10269 42.305966)), ((-70.960495 41.992887, -70.956164 41.992787, -70.956359 41.990006, -70.960879 41.987975, -70.960402 41.985928, -70.963911 41.983377, -70.967681 41.987255, -70.968887 41.986487, -70.972285 41.986069, -70.975452 41.987175, -70.972865 41.987847, -70.970377 41.989976, -70.967012 41.988953, -70.965584 41.991872, -70.960495 41.992887)))"
Dorchester,70507.03,35.1,124460,45629,4251,21475,409375,429350,"POLYGON ((-71.069501 42.278813, -71.071015 42.278314, -71.072774 42.278073, -71.073166 42.27805, -71.078891 42.278567, -71.080438 42.27896, -71.081102 42.279394, -71.082634 42.280368, -71.082735 42.280409, -71.085504 42.280991, -71.087048 42.281565, -71.089108 42.283134, -71.089298 42.283573, -71.089785 42.283936, -71.091569 42.284214, -71.09286 42.28513, -71.093887 42.287668, -71.095759 42.291973, -71.094542 42.293021, -71.093173 42.294613, -71.09135 42.296922, -71.089635 42.297498, -71.086992 42.298142, -71.085903 42.301381, -71.085246 42.303446, -71.084923 42.304428, -71.084299 42.307015, -71.083898 42.30759, -71.083254 42.308469, -71.083078 42.308772, -71.082804 42.309331, -71.082668 42.309535, -71.082012 42.310256, -71.080312 42.312418, -71.080088 42.312691, -71.079683 42.313219, -71.078823 42.314608, -71.077005 42.313713, -71.074649 42.312841, -71.073171 42.312222, -71.072231 42.313409, -71.073145 42.314217, -71.072825 42.316544, -71.073011 42.317035, -71.070388 42.317441, -71.069698 42.318947, -71.071276 42.32016, -71.072204 42.321359, -71.069842 42.321567, -71.068061 42.321281, -71.067507 42.323297, -71.066655 42.325845, -71.063553 42.330791, -71.059288 42.329973, -71.058241 42.329734, -71.057749 42.328376, -71.057845 42.328139, -71.056915 42.328035, -71.056868 42.326867, -71.05685 42.326289, -71.052904 42.32287, -71.052456 42.321466, -71.052093 42.321469, -71.051368 42.32141, -71.050925 42.320876, -71.050604 42.320758, -71.050283 42.321864, -71.050244 42.322017, -71.048956 42.323429, -71.047841 42.322592, -71.0467260009414 42.323070744949, -71.0400298066474 42.3196532414466, -71.033099 42.316116, -71.032777 42.313472, -71.037293 42.310132, -71.0391587234278 42.3098996198039, -71.0401595786891 42.3097749609512, -71.044832 42.309193, -71.0474393475483 42.3037469777322, -71.047616 42.303378, -71.044495 42.301496, -71.045971080436 42.2993124833707, -71.046786 42.298107, -71.0437321577228 42.2929582753061, -71.043697 42.292899, -71.03988 42.292455, -71.037974 42.288675, -71.039306 42.285495, -71.0381271228924 42.284715047516, -71.03908 42.283966, -71.039293 42.283799, -71.040494 42.281898, -71.041594 42.278098, -71.042782 42.277102, -71.04488 42.276266, -71.049802 42.2781, -71.053284 42.277502, -71.055575 42.275052, -71.053494 42.272458, -71.053836 42.271699, -71.062189 42.267159, -71.064695 42.268607, -71.065097 42.270659, -71.067815 42.271396, -71.06814 42.271, -71.068018 42.272216, -71.067189 42.275504, -71.066503 42.277904, -71.06592 42.279928, -71.069501 42.278813))"
West Roxbury,119852.5,42.5,32073,13357,755,8430,187070,177525,"POLYGON ((-71.145529 42.259229, -71.144116 42.25932, -71.142834 42.255943, -71.143804 42.254436, -71.146127 42.252964, -71.146306 42.253933, -71.146642 42.255755, -71.150386 42.25746, -71.152118 42.258247, -71.155958 42.256485, -71.158584 42.255155, -71.161574 42.257546, -71.163393 42.259023, -71.167393 42.262197, -71.168604 42.26316, -71.171541 42.266142, -71.174154 42.267021, -71.174609 42.268373, -71.172953 42.270298, -71.173342 42.270849, -71.173583 42.271415, -71.174847 42.273729, -71.174418 42.275042, -71.174565 42.275576, -71.176781 42.276799, -71.182895 42.275853, -71.183159 42.275913, -71.185307 42.279497, -71.185511 42.279682, -71.188212 42.280438, -71.19051 42.281648, -71.191247 42.282992, -71.190904 42.283248, -71.178636 42.294595, -71.169808 42.300443, -71.164702 42.30383, -71.153691 42.295746, -71.152113 42.294588, -71.1503 42.29553, -71.146883 42.29728, -71.140135 42.302147, -71.136917 42.301189, -71.134866 42.301723, -71.130904 42.301275, -71.127925 42.300157, -71.129622 42.298529, -71.130068 42.298184, -71.132978 42.296829, -71.13601 42.294429, -71.137305 42.293356, -71.139746 42.291299, -71.143052 42.288604, -71.145124 42.288114, -71.147322 42.287412, -71.147746 42.286654, -71.147775 42.285995, -71.147401 42.283893, -71.147025 42.283278, -71.145519 42.281804, -71.143956 42.280502, -71.142485 42.27757, -71.145231 42.276332, -71.145705 42.27505, -71.143664 42.272847, -71.147289 42.269994, -71.150086 42.267577, -71.146434 42.264583, -71.146999 42.26142, -71.145529 42.259229))"
Roslindale,98518.89,37.6,30321,11836,766,7760,151100,158440,"POLYGON ((-71.113431 42.279941, -71.115342 42.278039, -71.116377 42.278859, -71.115734 42.277295, -71.117207 42.275871, -71.119534 42.276868, -71.119993 42.278819, -71.120303 42.27842, -71.121435 42.274639, -71.121456 42.273776, -71.124914 42.272699, -71.125794 42.273468, -71.128245 42.274245, -71.12867 42.273895, -71.131121 42.273047, -71.132703 42.274037, -71.133781 42.274396, -71.136592 42.27151, -71.140653 42.275179, -71.140928 42.276916, -71.143956 42.280502, -71.145519 42.281804, -71.147025 42.283278, -71.147401 42.283893, -71.147775 42.285995, -71.147746 42.286654, -71.147322 42.287412, -71.145124 42.288114, -71.143052 42.288604, -71.139746 42.291299, -71.137305 42.293356, -71.13601 42.294429, -71.132978 42.296829, -71.130068 42.298184, -71.129332 42.296362, -71.130463 42.293156, -71.127847 42.291, -71.12618 42.290089, -71.124217 42.292581, -71.121294 42.295199, -71.12016 42.295952, -71.115434 42.298903, -71.115436 42.298206, -71.116735 42.296236, -71.118415 42.293409, -71.11882 42.292527, -71.119171 42.291205, -71.119259 42.290486, -71.119282 42.290235, -71.11726 42.289864, -71.116587 42.289111, -71.114402 42.290649, -71.114432 42.291572, -71.1139 42.292482, -71.1134 42.293118, -71.112628 42.292191, -71.107947 42.288616, -71.105401 42.286718, -71.109428 42.284652, -71.112183 42.281936, -71.110894 42.28035, -71.112232 42.280214, -71.113431 42.279941))"
Mattapan,72463.8,36.9,26345,9232,810,5920,114710,230945,"POLYGON ((-71.082735 42.280409, -71.082634 42.280368, -71.081102 42.279394, -71.080438 42.27896, -71.078891 42.278567, -71.073166 42.27805, -71.072774 42.278073, -71.071015 42.278314, -71.069501 42.278813, -71.06592 42.279928, -71.066503 42.277904, -71.067189 42.275504, -71.068018 42.272216, -71.06814 42.271, -71.072044 42.270817, -71.073264 42.270317, -71.075246 42.2703, -71.076492 42.270509, -71.080852 42.269322, -71.082761 42.268634, -71.089403 42.26969, -71.090258 42.266639, -71.093736 42.267136, -71.093908 42.26714, -71.096752 42.264338, -71.097899 42.262882, -71.099676 42.264841, -71.099623 42.265501, -71.101243 42.266829, -71.104367 42.269534, -71.103358 42.271002, -71.106563 42.271768, -71.108415 42.273505, -71.109191 42.274363, -71.110374 42.275065, -71.114188 42.2771, -71.115342 42.278039, -71.113431 42.279941, -71.112232 42.280214, -71.110894 42.28035, -71.112183 42.281936, -71.109428 42.284652, -71.105401 42.286718, -71.107947 42.288616, -71.112628 42.292191, -71.1134 42.293118, -71.114 42.29374, -71.115368 42.294572, -71.112075 42.296178, -71.109596 42.299098, -71.105517 42.298831, -71.104661 42.300271, -71.103291 42.299806, -71.096402 42.293235, -71.096181 42.292886, -71.095759 42.291973, -71.093887 42.287668, -71.09286 42.28513, -71.091569 42.284214, -71.089785 42.283936, -71.089298 42.283573, -71.089108 42.283134, -71.087048 42.281565, -71.085504 42.280991, -71.082735 42.280409))"
Hyde Park,100727.86,39,37963,13160,422,4690,103775,108725,"POLYGON ((-71.113009 42.258689, -71.112392 42.258116, -71.109544 42.255412, -71.109465 42.25241, -71.109347 42.24799, -71.112057 42.246585, -71.114563 42.245284, -71.116529 42.244274, -71.12567 42.239527, -71.126377 42.239162, -71.122517 42.235199, -71.122602 42.234515, -71.124587 42.234012, -71.125477 42.231882, -71.12742 42.231176, -71.130749 42.227911, -71.130771 42.227926, -71.136665 42.23191, -71.139241 42.23366, -71.142681 42.235998, -71.143498 42.240065, -71.144069 42.242819, -71.146127 42.252964, -71.143804 42.254436, -71.142834 42.255943, -71.144116 42.25932, -71.145529 42.259229, -71.146999 42.26142, -71.146434 42.264583, -71.150086 42.267577, -71.147289 42.269994, -71.143664 42.272847, -71.145705 42.27505, -71.145231 42.276332, -71.142485 42.27757, -71.143956 42.280502, -71.140928 42.276916, -71.140653 42.275179, -71.136592 42.27151, -71.133781 42.274396, -71.132703 42.274037, -71.131121 42.273047, -71.12867 42.273895, -71.128245 42.274245, -71.125794 42.273468, -71.124914 42.272699, -71.121456 42.273776, -71.121435 42.274639, -71.120303 42.27842, -71.119993 42.278819, -71.119534 42.276868, -71.117207 42.275871, -71.115734 42.277295, -71.116377 42.278859, -71.115342 42.278039, -71.114188 42.2771, -71.110374 42.275065, -71.109191 42.274363, -71.108415 42.273505, -71.106563 42.271768, -71.103358 42.271002, -71.104367 42.269534, -71.101243 42.266829, -71.099623 42.265501, -71.099676 42.264841, -71.097899 42.262882, -71.103672 42.259723, -71.104062 42.259862, -71.105001 42.260804, -71.108405 42.261116, -71.11146 42.260769, -71.11326 42.258926, -71.113009 42.258689))"
