Day of Year,Year of Period End,Period Begin,Period End,Median Sale Ppsf (tooltip),Median Sale Ppsf Yoy (tooltip),Median Sale Ppsf Yoy,Median Sale Ppsf
1,2023,12/5/2022,1/1/2023,$353.96 ,0.51%,0.005122346,$354 
2,2022,12/6/2021,1/2/2022,$352.15 ,14.48%,0.144757758,$352 
3,2021,12/7/2020,1/3/2021,$307.62 ,9.99%,0.099852057,$308 
7,2024,12/11/2023,1/7/2024,$384.34 ,8.55%,0.085528885,$384 
8,2023,12/12/2022,1/8/2023,$354.06 ,-0.08%,-0.000757345,$354 
9,2022,12/13/2021,1/9/2022,$354.32 ,14.74%,0.147392172,$354 
10,2021,12/14/2020,1/10/2021,$308.81 ,9.11%,0.091104941,$309 
14,2024,12/18/2023,1/14/2024,$379.12 ,6.48%,0.064841755,$379 
15,2023,12/19/2022,1/15/2023,$356.04 ,1.90%,0.01904841,$356 
16,2022,12/20/2021,1/16/2022,$349.38 ,13.20%,0.132046333,$349 
17,2021,12/21/2020,1/17/2021,$308.63 ,10.14%,0.10139181,$309 
21,2024,12/25/2023,1/21/2024,$375.18 ,6.14%,0.061408028,$375 
22,2023,12/26/2022,1/22/2023,$353.47 ,1.36%,0.013635987,$353 
23,2022,12/27/2021,1/23/2022,$348.72 ,12.22%,0.122178678,$349 
24,2021,12/28/2020,1/24/2021,$310.75 ,10.31%,0.103065187,$311 
28,2024,1/1/2024,1/28/2024,$370.57 ,4.83%,0.048288516,$371 
29,2023,1/2/2023,1/29/2023,$353.50 ,1.86%,0.018571799,$354 
30,2022,1/3/2022,1/30/2022,$347.06 ,9.52%,0.095230819,$347 
31,2021,1/4/2021,1/31/2021,$316.88 ,14.55%,0.145501697,$317 
35,2024,1/8/2024,2/4/2024,$376.16 ,5.39%,0.053863937,$376 
36,2023,1/9/2023,2/5/2023,$356.94 ,3.48%,0.034800188,$357 
37,2022,1/10/2022,2/6/2022,$344.93 ,8.29%,0.082878819,$345 
38,2021,1/11/2021,2/7/2021,$318.53 ,16.32%,0.163248965,$319 
42,2024,1/15/2024,2/11/2024,$378.88 ,7.30%,0.072969252,$379 
43,2023,1/16/2023,2/12/2023,$353.11 ,2.37%,0.023731977,$353 
44,2022,1/17/2022,2/13/2022,$344.93 ,7.93%,0.079303964,$345 
45,2021,1/18/2021,2/14/2021,$319.58 ,16.13%,0.161281745,$320 
49,2024,1/22/2024,2/18/2024,$386.01 ,8.77%,0.087736629,$386 
50,2023,1/23/2023,2/19/2023,$354.87 ,2.30%,0.023025785,$355 
51,2022,1/24/2022,2/20/2022,$346.89 ,8.56%,0.085561103,$347 
52,2021,1/25/2021,2/21/2021,$319.55 ,14.68%,0.146780343,$320 
56,2024,1/29/2024,2/25/2024,$392.75 ,9.24%,0.092379232,$393 
57,2023,1/30/2023,2/26/2023,$359.54 ,1.08%,0.010840084,$360 
58,2022,1/31/2022,2/27/2022,$355.68 ,10.97%,0.109748939,$356 
59,2021,2/1/2021,2/28/2021,$320.51 ,12.36%,0.123589612,$321 
63,2024,2/5/2024,3/3/2024,$396.63 ,10.33%,0.103263113,$397 
64,2023,2/6/2023,3/5/2023,$359.50 ,0.26%,0.002584527,$360 
65,2022,2/7/2022,3/6/2022,$358.58 ,10.00%,0.100027659,$359 
66,2021,2/8/2021,3/7/2021,$325.97 ,13.32%,0.133207965,$326 
70,2024,2/12/2024,3/10/2024,$406.77 ,10.73%,0.107250359,$407 
71,2023,2/13/2023,3/12/2023,$367.37 ,0.14%,0.001429862,$367 
72,2022,2/14/2022,3/13/2022,$366.85 ,9.51%,0.09513813,$367 
73,2021,2/15/2021,3/14/2021,$334.98 ,14.78%,0.147826624,$335 
77,2024,2/19/2024,3/17/2024,$410.17 ,11.00%,0.110013165,$410 
78,2023,2/20/2023,3/19/2023,$369.52 ,-1.50%,-0.014959487,$370 
79,2022,2/21/2022,3/20/2022,$375.13 ,9.82%,0.098154148,$375 
80,2021,2/22/2021,3/21/2021,$341.60 ,16.32%,0.163163839,$342 
84,2024,2/26/2024,3/24/2024,$416.07 ,11.53%,0.115328605,$416 
85,2023,2/27/2023,3/26/2023,$373.05 ,-0.87%,-0.008652315,$373 
86,2022,2/28/2022,3/27/2022,$376.30 ,8.75%,0.087460708,$376 
87,2021,3/1/2021,3/28/2021,$346.04 ,17.63%,0.176321871,$346 
91,2024,3/4/2024,3/31/2024,$415.23 ,8.97%,0.089710036,$415 
92,2023,3/6/2023,4/2/2023,$381.04 ,0.06%,0.000554722,$381 
93,2022,3/7/2022,4/3/2022,$380.83 ,9.43%,0.094277133,$381 
94,2021,3/8/2021,4/4/2021,$348.02 ,17.07%,0.170747812,$348 
98,2024,3/11/2024,4/7/2024,$416.44 ,8.74%,0.087385037,$416 
99,2023,3/13/2023,4/9/2023,$382.97 ,-0.11%,-0.001056238,$383 
100,2022,3/14/2022,4/10/2022,$383.38 ,10.33%,0.103273526,$383 
101,2021,3/15/2021,4/11/2021,$347.49 ,15.91%,0.159099168,$347 
105,2024,3/18/2024,4/14/2024,$420.68 ,7.55%,0.075515575,$421 
106,2023,3/20/2023,4/16/2023,$391.14 ,1.94%,0.019361869,$391 
107,2022,3/21/2022,4/17/2022,$383.71 ,10.34%,0.103431621,$384 
108,2021,3/22/2021,4/18/2021,$347.74 ,15.33%,0.153288206,$348 
112,2024,3/25/2024,4/21/2024,$421.36 ,6.70%,0.067049161,$421 
113,2023,3/27/2023,4/23/2023,$394.89 ,1.16%,0.011579829,$395 
114,2022,3/28/2022,4/24/2022,$390.37 ,12.22%,0.122216174,$390 
115,2021,3/29/2021,4/25/2021,$347.85 ,15.39%,0.153917303,$348 
119,2024,4/1/2024,4/28/2024,$423.42 ,7.04%,0.070387314,$423 
120,2023,4/3/2023,4/30/2023,$395.58 ,-0.15%,-0.001474897,$396 
121,2022,4/4/2022,5/1/2022,$396.16 ,13.78%,0.137768697,$396 
122,2021,4/5/2021,5/2/2021,$348.19 ,16.09%,0.160871161,$348 
126,2024,4/8/2024,5/5/2024,$425.51 ,6.86%,0.068648735,$426 
127,2023,4/10/2023,5/7/2023,$398.18 ,-1.02%,-0.01020394,$398 
128,2022,4/11/2022,5/8/2022,$402.28 ,14.18%,0.14179441,$402 
129,2021,4/12/2021,5/9/2021,$352.32 ,18.61%,0.186111235,$352 
133,2024,4/15/2024,5/12/2024,$420.33 ,5.65%,0.056486115,$420 
134,2023,4/17/2023,5/14/2023,$397.85 ,-1.57%,-0.01566903,$398 
135,2022,4/18/2022,5/15/2022,$404.19 ,13.34%,0.133413515,$404 
136,2021,4/19/2021,5/16/2021,$356.61 ,20.45%,0.204487208,$357 
140,2024,4/22/2024,5/19/2024,$423.13 ,6.32%,0.063179697,$423 
141,2023,4/24/2023,5/21/2023,$397.98 ,-1.66%,-0.016645861,$398 
142,2022,4/25/2022,5/22/2022,$404.72 ,13.03%,0.130284848,$405 
143,2021,4/26/2021,5/23/2021,$358.07 ,22.04%,0.220361381,$358 
147,2024,4/29/2024,5/26/2024,$426.40 ,6.58%,0.065773542,$426 
148,2023,5/1/2023,5/28/2023,$400.09 ,-0.24%,-0.00237737,$400 
149,2022,5/2/2022,5/29/2022,$401.04 ,11.38%,0.11382089,$401 
150,2021,5/3/2021,5/30/2021,$360.06 ,23.51%,0.23509826,$360 
154,2024,5/6/2024,6/2/2024,$424.68 ,5.73%,0.057293091,$425 
155,2023,5/8/2023,6/4/2023,$401.67 ,0.45%,0.004486594,$402 
156,2022,5/9/2022,6/5/2022,$399.87 ,10.73%,0.107312812,$400 
157,2021,5/10/2021,6/6/2021,$361.12 ,24.26%,0.242578818,$361 
161,2024,5/13/2024,6/9/2024,$432.51 ,7.23%,0.072283936,$433 
162,2023,5/15/2023,6/11/2023,$403.35 ,0.66%,0.006619347,$403 
163,2022,5/16/2022,6/12/2022,$400.70 ,10.76%,0.107638443,$401 
164,2021,5/17/2021,6/13/2021,$361.76 ,24.64%,0.24640346,$362 
168,2024,5/20/2024,6/16/2024,$430.38 ,6.10%,0.061029462,$430 
169,2023,5/22/2023,6/18/2023,$405.63 ,1.02%,0.010174701,$406 
170,2022,5/23/2022,6/19/2022,$401.54 ,9.85%,0.098483638,$402 
171,2021,5/24/2021,6/20/2021,$365.54 ,24.84%,0.248396071,$366 
175,2024,5/27/2024,6/23/2024,$429.74 ,5.65%,0.056468452,$430 
176,2023,5/29/2023,6/25/2023,$406.77 ,1.27%,0.012719009,$407 
177,2022,5/30/2022,6/26/2022,$401.66 ,10.58%,0.105822015,$402 
178,2021,5/31/2021,6/27/2021,$363.22 ,22.26%,0.222621825,$363 
182,2024,6/3/2024,6/30/2024,$425.14 ,4.62%,0.046243462,$425 
183,2023,6/5/2023,7/2/2023,$406.35 ,1.89%,0.01892999,$406 
184,2022,6/6/2022,7/3/2022,$398.80 ,10.32%,0.103205551,$399 
185,2021,6/7/2021,7/4/2021,$361.49 ,20.78%,0.20780841,$361 
189,2024,6/10/2024,7/7/2024,$423.35 ,3.91%,0.039132646,$423 
190,2023,6/12/2023,7/9/2023,$407.41 ,2.79%,0.027870405,$407 
191,2022,6/13/2022,7/10/2022,$396.36 ,10.35%,0.103536964,$396 
192,2021,6/14/2021,7/11/2021,$359.18 ,18.91%,0.189090956,$359 
196,2024,6/17/2024,7/14/2024,$424.05 ,4.52%,0.045198107,$424 
197,2023,6/19/2023,7/16/2023,$405.71 ,3.62%,0.036165434,$406 
198,2022,6/20/2022,7/17/2022,$391.55 ,9.53%,0.095253477,$392 
199,2021,6/21/2021,7/18/2021,$357.50 ,16.74%,0.167442414,$357 
203,2024,6/24/2024,7/21/2024,$424.66 ,5.02%,0.050187584,$425 
204,2023,6/26/2023,7/23/2023,$404.36 ,4.06%,0.040648268,$404 
205,2022,6/27/2022,7/24/2022,$388.57 ,8.34%,0.083367617,$389 
206,2021,6/28/2021,7/25/2021,$358.67 ,17.69%,0.176860005,$359 
210,2024,7/1/2024,7/28/2024,$424.27 ,4.79%,0.047919274,$424 
211,2023,7/3/2023,7/30/2023,$404.87 ,5.82%,0.058195639,$405 
212,2022,7/4/2022,7/31/2022,$382.60 ,7.08%,0.070788545,$383 
213,2021,7/5/2021,8/1/2021,$357.31 ,16.73%,0.167338307,$357 
217,2024,7/8/2024,8/4/2024,$419.48 ,4.08%,0.040761129,$419 
218,2023,7/10/2023,8/6/2023,$403.05 ,5.91%,0.059095008,$403 
219,2022,7/11/2022,8/7/2022,$380.56 ,6.74%,0.067371883,$381 
220,2021,7/12/2021,8/8/2021,$356.54 ,15.85%,0.158535351,$357 
224,2024,7/15/2024,8/11/2024,$417.58 ,3.58%,0.035840467,$418 
225,2023,7/17/2023,8/13/2023,$403.13 ,6.64%,0.066377031,$403 
226,2022,7/18/2022,8/14/2022,$378.04 ,6.84%,0.068432025,$378 
227,2021,7/19/2021,8/15/2021,$353.83 ,15.21%,0.152139456,$354 
231,2024,7/22/2024,8/18/2024,$413.69 ,2.71%,0.027050658,$414 
232,2023,7/24/2023,8/20/2023,$402.80 ,6.80%,0.068006787,$403 
233,2022,7/25/2022,8/21/2022,$377.15 ,6.69%,0.066884636,$377 
234,2021,7/26/2021,8/22/2021,$353.50 ,13.96%,0.13957655,$354 
238,2024,7/29/2024,8/25/2024,$411.22 ,2.75%,0.027510704,$411 
239,2023,7/31/2023,8/27/2023,$400.21 ,6.44%,0.064359458,$400 
240,2022,8/1/2022,8/28/2022,$376.01 ,6.07%,0.060703054,$376 
241,2021,8/2/2021,8/29/2021,$354.50 ,14.06%,0.140596255,$354 
245,2024,8/5/2024,9/1/2024,$410.08 ,3.21%,0.032078448,$410 
246,2023,8/7/2023,9/3/2023,$397.33 ,6.58%,0.065757417,$397 
247,2022,8/8/2022,9/4/2022,$372.82 ,5.53%,0.055283833,$373 
248,2021,8/9/2021,9/5/2021,$353.29 ,14.13%,0.14134209,$353 
252,2024,8/12/2024,9/8/2024,$404.74 ,2.52%,0.025170369,$405 
253,2023,8/14/2023,9/10/2023,$394.80 ,7.22%,0.072218313,$395 
254,2022,8/15/2022,9/11/2022,$368.21 ,3.84%,0.038361953,$368 
255,2021,8/16/2021,9/12/2021,$354.61 ,14.81%,0.14809136,$355 
259,2024,8/19/2024,9/15/2024,$406.09 ,3.75%,0.037476829,$406 
260,2023,8/21/2023,9/17/2023,$391.42 ,7.18%,0.071818188,$391 
261,2022,8/22/2022,9/18/2022,$365.19 ,3.89%,0.038865542,$365 
262,2021,8/23/2021,9/19/2021,$351.53 ,14.72%,0.147247229,$352 
266,2024,8/26/2024,9/22/2024,$404.20 ,3.15%,0.03147738,$404 
267,2023,8/28/2023,9/24/2023,$391.86 ,7.75%,0.077530359,$392 
268,2022,8/29/2022,9/25/2022,$363.67 ,4.94%,0.049447302,$364 
269,2021,8/30/2021,9/26/2021,$346.53 ,13.25%,0.132475314,$347 
273,2024,9/2/2024,9/29/2024,$402.69 ,2.65%,0.026461644,$403 
274,2023,9/4/2023,10/1/2023,$392.31 ,8.22%,0.082171527,$392 
275,2022,9/5/2022,10/2/2022,$362.52 ,6.02%,0.060150829,$363 
276,2021,9/6/2021,10/3/2021,$341.95 ,11.81%,0.118071031,$342 
280,2024,9/9/2024,10/6/2024,$402.45 ,2.84%,0.028402157,$402 
281,2023,9/11/2023,10/8/2023,$391.33 ,8.18%,0.081797904,$391 
282,2022,9/12/2022,10/9/2022,$361.74 ,7.18%,0.071813295,$362 
283,2021,9/13/2021,10/10/2021,$337.51 ,10.74%,0.107377739,$338 
288,2023,9/18/2023,10/15/2023,$392.87 ,8.50%,0.085035104,$393 
289,2022,9/19/2022,10/16/2022,$362.08 ,7.49%,0.07492671,$362 
290,2021,9/20/2021,10/17/2021,$336.84 ,10.04%,0.100408999,$337 
295,2023,9/25/2023,10/22/2023,$390.89 ,8.35%,0.083458009,$391 
296,2022,9/26/2022,10/23/2022,$360.78 ,7.32%,0.073198417,$361 
297,2021,9/27/2021,10/24/2021,$336.17 ,9.79%,0.097911391,$336 
302,2023,10/2/2023,10/29/2023,$391.99 ,8.10%,0.08102887,$392 
303,2022,10/3/2022,10/30/2022,$362.61 ,7.20%,0.072003161,$363 
304,2021,10/4/2021,10/31/2021,$338.25 ,10.08%,0.100829487,$338 
309,2023,10/9/2023,11/5/2023,$391.32 ,7.90%,0.079007159,$391 
310,2022,10/10/2022,11/6/2022,$362.67 ,5.97%,0.05965557,$363 
311,2021,10/11/2021,11/7/2021,$342.25 ,11.33%,0.113340966,$342 
316,2023,10/16/2023,11/12/2023,$389.06 ,7.52%,0.075168483,$389 
317,2022,10/17/2022,11/13/2022,$361.86 ,5.13%,0.051347816,$362 
318,2021,10/18/2021,11/14/2021,$344.19 ,11.45%,0.114517655,$344 
323,2023,10/23/2023,11/19/2023,$388.65 ,7.15%,0.071540407,$389 
324,2022,10/24/2022,11/20/2022,$362.70 ,4.55%,0.045470082,$363 
325,2021,10/25/2021,11/21/2021,$346.92 ,11.19%,0.111899488,$347 
330,2023,10/30/2023,11/26/2023,$384.76 ,8.16%,0.081647854,$385 
331,2022,10/31/2022,11/27/2022,$355.71 ,1.81%,0.018149608,$356 
332,2021,11/1/2021,11/28/2021,$349.37 ,11.61%,0.116082276,$349 
337,2023,11/6/2023,12/3/2023,$385.45 ,7.85%,0.078477342,$385 
338,2022,11/7/2022,12/4/2022,$357.41 ,2.77%,0.027650292,$357 
339,2021,11/8/2021,12/5/2021,$347.79 ,10.32%,0.103206355,$348 
344,2023,11/13/2023,12/10/2023,$384.61 ,8.78%,0.087750786,$385 
345,2022,11/14/2022,12/11/2022,$353.59 ,1.15%,0.011496107,$354 
346,2021,11/15/2021,12/12/2021,$349.57 ,11.38%,0.11379848,$350 
351,2023,11/20/2023,12/17/2023,$386.40 ,9.56%,0.095594057,$386 
352,2022,11/21/2022,12/18/2022,$352.68 ,-0.19%,-0.001901658,$353 
353,2021,11/22/2021,12/19/2021,$353.36 ,13.50%,0.134997937,$353 
358,2023,11/27/2023,12/24/2023,$387.23 ,8.26%,0.082554101,$387 
359,2022,11/28/2022,12/25/2022,$357.70 ,1.31%,0.013120935,$358 
360,2021,11/29/2021,12/26/2021,$353.07 ,13.74%,0.137370453,$353 
365,2023,12/4/2023,12/31/2023,$387.21 ,9.39%,0.093949223,$387 
